"year","greenhouse","rank_by_emissions"
"2015",18.11,"147"
"2015",4451.81,"31"
"2015",98.61,"85"
"2015",117.81,"78"
"2015",11.65,"160"
"2015",16.91,"151"
"2015",23.86,"138"
"2015",926.48,"37"
"2015",72.09,"95"
"2015",57.54,"115"
"2015",536.9,"40"
"2015",128.82,"72"
"2015",61.64,"109"
"2015",11.68,"158"
"2015",62.02,"108"
"2015",50.98,"124"
"2015",474.61,"46"
"2015",62.43,"105"
"2015",442.78,"48"
"2015",81,"91"
"2015",206.71,"65"
"2015",20.34,"143"
"2015",2.58,"170"
"2015",350.4,"61"
"2015",41.42,"131"
"2015",55.89,"117"
"2015",9.19,"167"
"2015",121.64,"75"
"2015",387.73,"58"
"2016",55.45,"118"
"2016",94.71,"87"
"2016",340.54,"62"
"2016",9.66,"166"
"2016",206.8,"64"
"2016",17.78,"148"
"2016",113.42,"83"
"2016",130.55,"69"
"2016",53.04,"122"
"2016",11.53,"161"
"2016",122.14,"74"
"2016",24.68,"136"
"2016",62.07,"107"
"2016",60.72,"110"
"2016",20.37,"142"
"2016",64.16,"101"
"2016",19.69,"146"
"2016",41.19,"132"
"2016",4439.29,"32"
"2016",71.02,"97"
"2016",2.29,"172"
"2016",935.82,"36"
"2016",516.8,"41"
"2016",475.36,"45"
"2016",11.66,"159"
"2016",59.7,"111"
"2016",438.25,"51"
"2016",82.02,"89"
"2016",397.84,"57"
"2017",84.53,"88"
"2017",55.45,"118"
"2017",50.55,"125"
"2017",17.53,"150"
"2017",43.48,"130"
"2017",25.47,"134"
"2017",21.06,"139"
"2017",20.74,"140"
"2017",4481.43,"30"
"2017",936,"35"
"2017",2.58,"170"
"2017",505.42,"42"
"2017",481.98,"44"
"2017",438.96,"50"
"2017",416.3,"54"
"2017",357.3,"59"
"2017",205.38,"66"
"2017",129.76,"70"
"2017",119.38,"76"
"2017",9.95,"164"
"2017",114.81,"82"
"2017",98.88,"84"
"2017",74.42,"94"
"2017",11.74,"157"
"2017",64.49,"99"
"2017",63.81,"103"
"2017",11.93,"156"
"2017",62.09,"106"
"2017",57.45,"116"
"2018",415.86,"55"
"2018",2.66,"169"
"2018",81.5,"90"
"2018",439.26,"49"
"2018",462.8,"47"
"2018",498.75,"43"
"2018",51.3,"123"
"2018",888.72,"38"
"2018",71.57,"96"
"2018",4391.84,"33"
"2018",12.36,"154"
"2018",12.2,"155"
"2018",64.24,"100"
"2018",20.18,"144"
"2018",64.07,"102"
"2018",58.82,"113"
"2018",58.6,"114"
"2018",20.65,"141"
"2018",54.61,"120"
"2018",24.36,"137"
"2018",116.53,"79"
"2018",123.64,"73"
"2018",129.39,"71"
"2018",43.53,"129"
"2018",9.86,"165"
"2018",17.6,"149"
"2018",200.46,"67"
"2018",96.11,"86"
"2018",352.21,"60"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2019","","1"
"2021",20,"145"
"2021",25,"135"
"2021",41,"133"
"2021",45,"128"
"2021",49,"126"
"2021",49,"126"
"2021",16,"152"
"2021",13,"153"
"2021",54,"121"
"2021",59,"112"
"2021",63,"104"
"2021",65,"98"
"2021",79,"93"
"2021",80,"92"
"2021",116,"80"
"2021",116,"80"
"2021",11,"162"
"2021",11,"162"
"2021",119,"77"
"2021",175,"68"
"2021",297,"63"
"2021",402,"56"
"2021",9,"168"
"2021",423,"52"
"2021",423,"52"
"2021",779,"39"
"2021",3541,"34"
"2021",2,"173"
