Nr_tabeli;Nazwa_tabeli;Kraj;Rok;Powierzchnia [km2];Ludnoœæ [tys.]       ;PKB [mln euro05];Pozyskanie_energii_pierwotnej [ktoe] ;Zu¿ycie_krajowe_energii_pierwotnej (= Zu¿ycie_krajowe_energii_brutto) [ktoe];Energoch³onnoœæ_pierwotna_PKB [toe/mln euro05];Import_netto [ktoe];Zu¿ycie_koñcowe_energii [ktoe];Zu¿ycie_koñcowe_energii/mieszkañca [toe/miesz.];Zu¿ycie_koñcowe_energii/ gospodarstwo_domowe [toe/gosp. dom.];Energoch³onnoœæ_finalna_PKB [toe/mln euro05];Zale¿noœæ_energetyczna (= Import_netto_energii / (Zu¿ycie_krajowe_energii_pierwotnej + Bunkier_morski)) [%];Produkcja_energii_elektrycznej [ktoe];Produkcja_energii_elektrycznej_z_OZE [ktoe];Zu¿ycie_krajowe_energii_elektrycznej [ktoe];Zu¿ycie_koñcowe_energii_elektrycznej [ktoe];Zu¿ycie_energii_elektrycznej/mieszkañca [toe/miesz.];Elektroch³onnoœæ_PKB [toe/mln euro05];Zu¿ycie_energii_elektrycznej/gospodarstwo_domowe [toe/gosp. dom.];Zale¿noœæ_elektroenergetyczna (= Import_netto_energii_elektrycznej/Zu¿ycie_krajowe_energii_elektrycznej) [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_elektroenergetyce [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_ciep³ownictwie_i_ch³odnictwie [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_transporcie [%];GHG (w_ekwiwalencie_CO2) [Tg];Emisja_CO2 [Tg];Emisja_CO2/produkcja_energii_elektrycznej [Gg/ktoe];Emisja_CO2/mieszkañca [Mg/miesz.] 
1;Polska i Unia Europejska - wybrane dane;UE 28;2015;4463532;510279;12827661;766583;1627475;127;902124;1083957;2,12;4,95;84,50;54,03;278103;79726;279329;235665;0,55;21,78;1,28;0,44;16,66;28,81;18,59;6,71;4451,81;3640,61;13,09;7,13
1;Polska i Unia Europejska - wybrane dane;Austria;2015;83879;8690;286423;11932;33250;116;20214;27370;3,15;7,17;95,56;60,76;5615;4341;6480;5229;0,75;22,62;1,70;13,35;32,96;70,30;32,03;11,40;81,00;68,85;12,26;7,92
1;Polska i Unia Europejska - wybrane dane;Belgia;2015;30528;11311;351295;10367;54217;154;50625;35780;3,16;7,61;101,85;84,32;6075;1200;7880;7026;0,70;22,43;1,68;22,91;7,88;15,42;7,64;3,82;121,64;104,42;17,19;9,23
1;Polska i Unia Europejska - wybrane dane;Bu³garia;2015;110370;7154;30599;11986;18511;605;6585;9508;1,33;3,23;310,72;35,41;4233;628;3324;2436;0,46;108,62;1,13;-27,36;18,21;19,14;28,63;6,54;62,02;48,83;11,54;6,83
1;Polska i Unia Europejska - wybrane dane;Chorwacja;2015;56594;4191;37099;4393;8525;230;4116;6587;1,57;4,43;177,55;48,28;981;704;1564;1319;0,37;42,17;1,05;37,32;29,00;45,45;38,58;3,54;23,86;18,27;18,64;4,36
1;Polska i Unia Europejska - wybrane dane;Cypr;2015;9251;848;15665;121;2272;145;2452;1660;1,96;5,58;105,94;97,67;390;33;390;352;0,46;24,88;1,31;0,00;9,38;8,44;22,54;2,50;9,19;7,61;19,53;8,97
1;Polska i Unia Europejska - wybrane dane;Czechy;2015;78868;10554;134409;28756;42442;316;13544;24187;2,29;5,21;179,95;31,91;7213;848;6137;4684;0,58;45,66;1,32;-17,53;15,07;14,07;19,82;6,45;128,82;105,46;14,62;9,99
1;Polska i Unia Europejska - wybrane dane;Dania;2015;42924;5707;227789;15709;16766;74;2301;13946;2,44;5,88;61,22;13,12;2489;1538;2997;2640;0,53;13,16;1,26;16,96;30,84;51,32;39,64;6,67;50,98;38,18;15,34;6,69
1;Polska i Unia Europejska - wybrane dane;Estonia;2015;45227;1316;13209;5554;6255;474;483;2765;2,10;4,84;209,34;7,39;896;123;816;589;0,62;61,79;1,43;-9,74;28,63;15,12;49,62;0,39;18,11;15,96;17,82;12,13
1;Polska i Unia Europejska - wybrane dane;Finlandia;2015;338440;5487;170693;17538;33155;194;15660;24181;4,41;9,22;141,66;46,82;5898;2371;7303;6747;1,33;42,79;2,78;19,23;39,29;32,47;52,76;21,98;57,54;46,40;7,87;8,46
